Molocule,Wave_Number,Intensity ,A,gamma_air,gamma self,E'',n-air,delta - air,J',"J"""
12CH4,1249.98029,1.61E-27,0.0005834,0.054,0.073,2115.709,0.67,-0.002,9,10
12CH4,1250.001,1.00E-20,2.047,0.0509,0.071,470.799,0.93,-0.0034,8,9
12CH4,1250.01619,4.08E-23,4.112,0.052,0.075,1720.8,0.72,-0.002,7,8
12CH4,1250.08206,1.87E-27,9.65E-05,0.064,0.078,1636.3953,0.73,-0.002,6,7
12CH4,1250.12911,3.54E-23,1.901,0.058,0.075,1674.3907,0.72,-0.002,7,8
12CH4,1250.13065,1.27E-23,0.3586,0.066,0.078,1436.8654,0.75,-0.002,4,5
12CH4,1250.1407,6.47E-27,0.0002918,0.058,0.078,1491.5029,0.75,-0.002,5,5
12CH4,1250.14942,1.59E-25,0.01178,0.058,0.074,1766.0465,0.67,-0.002,8,9
12CH4,1250.1662,7.03E-26,0.0682,0.051,0.068,2357.7405,0.65,-0.002,11,12
12CH4,1250.1972,7.20E-27,0.01048,0.041,0.068,2357.8606,0.65,-0.002,11,12
12CH4,1250.21316,7.55E-26,0.005582,0.058,0.074,1765.9297,0.67,-0.002,8,9
12CH4,1250.25537,9.37E-26,0.08967,0.047,0.065,2402.6394,0.65,-0.002,14,14
12CH4,1250.29432,4.72E-26,0.007379,0.058,0.075,1919.9879,0.72,-0.002,8,8
12CH4,1250.29459,1.91E-24,0.06766,0.066,0.079,1432.1805,0.8,-0.002,3,4
12CH4,1250.31515,8.40E-26,0.04555,0.045,0.073,2115.3064,0.67,-0.002,9,10
12CH4,1250.31869,2.22E-27,0.001001,0.051,0.067,2233.061,0.65,-0.002,13,13
12CH4,1250.32378,2.36E-26,0.02291,0.051,0.068,2357.6304,0.65,-0.002,11,12
12CH4,1250.353,1.02E-30,1.77E-05,0.042,0.056,3106.0159,0.57,-0.003,24,24
12CH4,1250.38837,5.42E-26,0.004616,0.058,0.074,1817.8431,0.67,-0.002,9,9
12CH4,1250.40807,3.45E-26,0.007379,0.058,0.074,2007.2007,0.67,-0.002,9,9
12CH4,1250.42762,6.50E-25,0.02968,0.058,0.075,1641.048,0.72,-0.002,7,8
12CH4,1250.429,4.96E-26,0.01164,0.052,0.075,1919.9862,0.72,-0.002,8,8
12CH4,1250.43072,5.96E-23,1.919,0.058,0.075,1674.217,0.72,-0.002,7,8
12CH4,1250.43126,1.14E-25,0.04112,0.054,0.073,2115.2581,0.67,-0.002,9,10
