"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.202047250E0,-7.052314758E0,-2.583975983E1,-4.033334351E1,4.841701075E1
2.212111250E0,-7.008888245E0,-2.589146805E1,-4.030615234E1,4.841568495E1
2.222174250E0,-7.039131165E0,-2.570531082E1,-3.997341919E1,4.804359077E1
2.232237250E0,-7.071754456E0,-2.597554016E1,-4.022650146E1,4.840361369E1
2.242300250E0,-7.040771484E0,-2.591950226E1,-4.044515991E1,4.855104552E1
2.252363250E0,-7.074745178E0,-2.584957504E1,-4.030459595E1,4.840158059E1
2.262427250E0,-7.380615234E0,-2.583601379E1,-4.006439209E1,4.824032135E1
2.272490250E0,-7.191154480E0,-2.617630386E1,-3.990490723E1,4.826295896E1
2.282553250E0,-7.267845154E0,-2.608977509E1,-3.993252563E1,4.825043565E1
2.292616250E0,-7.292839050E0,-2.620504761E1,-4.028509521E1,4.860842435E1
2.302679250E0,-7.106407166E0,-2.608550262E1,-4.024038696E1,4.847930706E1
2.312743250E0,-7.288368225E0,-2.602417755E1,-4.026748657E1,4.849586171E1
2.322806250E0,-7.282531738E0,-2.592775726E1,-4.016345215E1,4.835686873E1
2.332869250E0,-7.069496155E0,-2.593358612E1,-3.997106934E1,4.816861062E1
2.342932250E0,-7.024475098E0,-2.587752151E1,-4.038491821E1,4.847608678E1
2.352996250E0,-7.245613098E0,-2.588833237E1,-4.029067993E1,4.843597373E1
2.363059250E0,-7.394699097E0,-2.588467407E1,-3.977313232E1,4.802707550E1
2.373122250E0,-7.334892273E0,-2.569676208E1,-3.970727539E1,4.786221835E1
2.383185250E0,-7.357566833E0,-2.577463150E1,-4.003164673E1,4.817673877E1
2.393248250E0,-7.363868713E0,-2.595330811E1,-3.992892456E1,4.818837807E1
2.403312250E0,-7.296012878E0,-2.619388962E1,-4.016012573E1,4.849935418E1
2.413375250E0,-7.250946045E0,-2.583160782E1,-4.017794800E1,4.831268660E1
2.423438250E0,-7.176544189E0,-2.606299591E1,-4.021084595E1,4.845301512E1
2.433501250E0,-7.212608337E0,-2.564288330E1,-3.999411011E1,4.805317915E1
2.443564250E0,-7.243072510E0,-2.587117386E1,-4.003295898E1,4.821221361E1
2.453628250E0,-7.317291260E0,-2.617204285E1,-4.020483398E1,4.852779877E1
2.463691250E0,-7.427070618E0,-2.590992355E1,-4.024414062E1,4.843631253E1
2.473754250E0,-7.460487366E0,-2.601361084E1,-4.001315308E1,4.830547836E1
2.483817250E0,-7.343582153E0,-2.605700684E1,-4.015863037E1,4.843151244E1
2.493880250E0,-7.349060059E0,-2.605376053E1,-4.015649414E1,4.842882554E1
2.503944250E0,-7.280975342E0,-2.596344376E1,-3.973510742E1,4.802074318E1
2.514007250E0,-7.316551208E0,-2.601970673E1,-3.966995239E1,4.800273099E1
2.524070250E0,-7.072319031E0,-2.596174240E1,-3.997671509E1,4.818887334E1
2.534133250E0,-7.051353455E0,-2.582307434E1,-4.032278442E1,4.839917042E1
2.544197250E0,-7.230819702E0,-2.598545456E1,-4.047869873E1,4.864209754E1
2.554260250E0,-7.323341370E0,-2.608069229E1,-4.033990479E1,4.859158114E1
2.564323250E0,-7.232154846E0,-2.605276108E1,-4.044189453E1,4.864768501E1
